Type,Timekeeper Nickname 1,Client Nickname 1,Activity Nickname 1,Reference Nickname 1,Extra,Date
Expense,CoreyM,Wellfleet,Hand Tools,III-Project,Slip: e1371,12/9/2013
Expense,ElvisP,Wendell,Power Tools,OOO-Project,Slip: e1372,12/9/2013
Expense,SamS,Wenham,Cleanup Supplies,UUU-Project,Slip: e1373,12/10/2013
Expense,ShawnR,West Boylston,Pavers,WESTB-Project01,Slip: e1374,12/10/2013
Expense,TomH,West Bridgewater,Wood,WESTB-Project02,Slip: e1375,12/10/2013
Expense,CoreyM,West Brookfield,First aid,,Slip: e1376,12/10/2013
Expense,ElvisP,West Newbury,Plants,AAA-Project,Slip: e1377,12/11/2013
Expense,SamS,West Springfield,Landscape Supplies,EEE-Project,Slip: e1378,12/11/2013
Expense,ShawnR,West Stockbridge,Snacks,III-Project,Slip: e1379,12/11/2013
Expense,TomH,West Tisbury,Consultants,OOO-Project,Slip: e1380,12/11/2013
Expense,CoreyM,Westborough,Hand Tools,UUU-Project,Slip: e1381,12/12/2013
Expense,ElvisP,Westfield,Power Tools,WESTF-Project01,Slip: e1382,12/12/2013
Expense,SamS,Westford,Cleanup Supplies,WESTF-Project02,Slip: e1383,12/12/2013
Expense,ShawnR,Westhampton,Pavers,,Slip: e1384,12/12/2013
Expense,TomH,Westminster,Wood,AAA-Project,Slip: e1385,12/13/2013
Expense,CoreyM,Weston,First aid,EEE-Project,Slip: e1386,12/13/2013
Expense,ElvisP,Westport,Plants,III-Project,Slip: e1387,12/13/2013
Expense,SamS,Westwood,Landscape Supplies,OOO-Project,Slip: e1388,12/13/2013
Expense,ShawnR,Weymouth,Snacks,UUU-Project,Slip: e1389,12/14/2013
Expense,TomH,Whately,Consultants,WHATE-Project01,Slip: e1390,12/14/2013
Expense,CoreyM,Whitman,Hand Tools,WHITM-Project02,Slip: e1391,12/14/2013
Expense,ElvisP,Wilbraham,Power Tools,,Slip: e1392,12/14/2013
Expense,SamS,Williamsburg,Cleanup Supplies,AAA-Project,Slip: e1393,12/15/2013
Expense,ShawnR,Williamstown,Pavers,EEE-Project,Slip: e1394,12/15/2013
Expense,TomH,Wilmington,Wood,III-Project,Slip: e1395,12/15/2013
Expense,CoreyM,Winchendon,First aid,OOO-Project,Slip: e1396,12/15/2013
Expense,ElvisP,Winchester,Plants,UUU-Project,Slip: e1397,12/16/2013
Expense,SamS,Windsor,Landscape Supplies,WINDS-Project01,Slip: e1398,12/16/2013
Expense,ShawnR,Winthrop,Snacks,WINTH-Project02,Slip: e1399,12/16/2013
Expense,TomH,Woburn,Consultants,,Slip: e1400,12/16/2013
Expense,CoreyM,Worcester,Hand Tools,AAA-Project,Slip: e1401,12/17/2013
Expense,ElvisP,Worthington,Power Tools,EEE-Project,Slip: e1402,12/17/2013
Expense,SamS,Wrentham,Cleanup Supplies,III-Project,Slip: e1403,12/17/2013
Expense,ShawnR,Yarmouth,Pavers,OOO-Project,Slip: e1404,12/17/2013
